"";"nom";"prenom";"age";"minutes";"Competition";"year";"saison";"lien"
"1889";"Cros";"Geoffrey";21;218;"Top 14";1997;"17/18";"http://www.itsrugby.fr/joueur_36666.html"
"1890";"Cros";"Geoffrey";20;69;"Top 14";1997;"16/17";"http://www.itsrugby.fr/joueur_36666.html"
"1891";"Malins";"Max";22;286;"Premiership";1997;"18/19";"http://www.itsrugby.fr/joueur_36692.html"
"1892";"Malins";"Max";21;172;"Premiership";1997;"17/18";"http://www.itsrugby.fr/joueur_36692.html"
"1893";"Malins";"Max";20;24;"Premiership";1997;"16/17";"http://www.itsrugby.fr/joueur_36692.html"
"1894";"Stuart";"Will";22;500;"Premiership";1996;"18/19";"http://www.itsrugby.fr/joueur_36695.html"
"1895";"Stuart";"Will";21;39;"Premiership";1996;"17/18";"http://www.itsrugby.fr/joueur_36695.html"
"1896";"Couilloud";"Baptiste";21;271;"Top 14";1997;"18/19";"http://www.itsrugby.fr/joueur_36699.html"
"1897";"Couilloud";"Baptiste";20;1203;"Top 14";1997;"17/18";"http://www.itsrugby.fr/joueur_36699.html"
"1898";"Couilloud";"Baptiste";19;567;"Top 14";1997;"16/17";"http://www.itsrugby.fr/joueur_36699.html"
"1899";"Fourcade";"Etienne";22;818;"Top 14";1997;"18/19";"http://www.itsrugby.fr/joueur_36700.html"
"1900";"Fourcade";"Etienne";21;73;"Top 14";1997;"17/18";"http://www.itsrugby.fr/joueur_36700.html"
"1901";"Fourcade";"Etienne";20;36;"Top 14";1997;"16/17";"http://www.itsrugby.fr/joueur_36700.html"
"1902";"Mauvaka";"Peato";22;360;"Top 14";1997;"18/19";"http://www.itsrugby.fr/joueur_36703.html"
"1903";"Mauvaka";"Peato";21;21;"Top 14";1997;"17/18";"http://www.itsrugby.fr/joueur_36703.html"
"1904";"Mauvaka";"Peato";20;85;"Top 14";1997;"16/17";"http://www.itsrugby.fr/joueur_36703.html"
"1905";"Ngandebe";"Gabriel";22;578;"Top 14";1997;"18/19";"http://www.itsrugby.fr/joueur_36704.html"
"1906";"Ngandebe";"Gabriel";21;436;"Top 14";1997;"17/18";"http://www.itsrugby.fr/joueur_36704.html"
"1907";"Voisin";"Mathieu";21;52;"Top 14";1996;"16/17";"http://www.itsrugby.fr/joueur_36705.html"
"1908";"Voisin";"Mathieu";20;80;"Top 14";1996;"15/16";"http://www.itsrugby.fr/joueur_36705.html"
"1909";"Verhaeghe";"Florian";22;556;"Top 14";1997;"18/19";"http://www.itsrugby.fr/joueur_36706.html"
"1910";"Verhaeghe";"Florian";21;713;"Top 14";1997;"17/18";"http://www.itsrugby.fr/joueur_36706.html"
"1911";"Verhaeghe";"Florian";20;80;"Top 14";1997;"16/17";"http://www.itsrugby.fr/joueur_36706.html"
"1912";"Keast";"Billy";22;105;"Premiership";1996;"18/19";"http://www.itsrugby.fr/joueur_36715.html"
"1913";"Willis";"Jack";22;104;"Premiership";1996;"18/19";"http://www.itsrugby.fr/joueur_36735.html"
"1914";"Willis";"Jack";21;815;"Premiership";1996;"17/18";"http://www.itsrugby.fr/joueur_36735.html"
"1915";"Willis";"Jack";20;30;"Premiership";1996;"16/17";"http://www.itsrugby.fr/joueur_36735.html"
"1916";"Adams-Hale";"Ralph";22;33;"Premiership";1997;"18/19";"http://www.itsrugby.fr/joueur_36736.html"
"1917";"Coville";"Arthur";21;67;"Top 14";1998;"18/19";"http://www.itsrugby.fr/joueur_36786.html"
"1918";"Coville";"Arthur";20;841;"Top 14";1998;"17/18";"http://www.itsrugby.fr/joueur_36786.html"
"1919";"Coville";"Arthur";19;22;"Top 14";1998;"16/17";"http://www.itsrugby.fr/joueur_36786.html"
"1920";"Pesenti";"Baptiste";22;785;"Top 14";1997;"18/19";"http://www.itsrugby.fr/joueur_36809.html"
"1921";"Pesenti";"Baptiste";21;710;"Top 14";1997;"17/18";"http://www.itsrugby.fr/joueur_36809.html"
"1922";"Walcker";"Quentin";23;233;"Top 14";1996;"18/19";"http://www.itsrugby.fr/joueur_36955.html"
"1923";"Millet";"Theo";20;433;"Top 14";1997;"17/18";"http://www.itsrugby.fr/joueur_36968.html"
"1924";"Millet";"Theo";19;515;"Top 14";1997;"16/17";"http://www.itsrugby.fr/joueur_36968.html"
"1925";"Capelli";"Mickael";22;501;"Top 14";1997;"18/19";"http://www.itsrugby.fr/joueur_36970.html"
"1926";"Capelli";"Mickael";21;80;"Top 14";1997;"17/18";"http://www.itsrugby.fr/joueur_36970.html"
"1927";"Capelli";"Mickael";20;487;"Top 14";1997;"16/17";"http://www.itsrugby.fr/joueur_36970.html"
"1928";"Capelli";"Mickael";19;30;"Top 14";1997;"15/16";"http://www.itsrugby.fr/joueur_36970.html"
"1929";"Nicoue";"Alexandre";21;23;"Top 14";1997;"17/18";"http://www.itsrugby.fr/joueur_37660.html"
"1930";"Randall";"Harry";21;487;"Premiership";1997;"18/19";"http://www.itsrugby.fr/joueur_37661.html"
"1931";"Aumua";"Asafo Junior";21;60;"Super Rugby";1997;"17/18";"http://www.itsrugby.fr/joueur_37785.html"
"1932";"Barrett";"Jordie Matthew";22;160;"Super Rugby";1997;"18/19";"http://www.itsrugby.fr/joueur_37786.html"
"1933";"Barrett";"Jordie Matthew";21;1195;"Super Rugby";1997;"17/18";"http://www.itsrugby.fr/joueur_37786.html"
"1934";"Barrett";"Jordie Matthew";20;1169;"Super Rugby";1997;"16/17";"http://www.itsrugby.fr/joueur_37786.html"
"1935";"Fidow";"Alex";20;12;"Super Rugby";1997;"17/18";"http://www.itsrugby.fr/joueur_37787.html"
"1936";"Jacobson";"Luke Brittain";21;639;"Super Rugby";1997;"17/18";"http://www.itsrugby.fr/joueur_37789.html"
"1937";"Mikaele Tu'u";"Marino";22;10;"Super Rugby";1997;"18/19";"http://www.itsrugby.fr/joueur_37792.html"
"1938";"Mikaele Tu'u";"Marino";21;138;"Super Rugby";1997;"17/18";"http://www.itsrugby.fr/joueur_37792.html"
"1939";"Papali'i";"Dalton";21;125;"Super Rugby";1997;"18/19";"http://www.itsrugby.fr/joueur_37793.html"
"1940";"Papali'i";"Dalton";20;289;"Super Rugby";1997;"17/18";"http://www.itsrugby.fr/joueur_37793.html"
"1941";"Perofeta";"Stephen";20;1000;"Super Rugby";1997;"17/18";"http://www.itsrugby.fr/joueur_37795.html"
"1942";"Perofeta";"Stephen";19;54;"Super Rugby";1997;"16/17";"http://www.itsrugby.fr/joueur_37795.html"
"1943";"Strange";"Quinten";22;240;"Super Rugby";1996;"18/19";"http://www.itsrugby.fr/joueur_37796.html"
"1944";"Strange";"Quinten";21;394;"Super Rugby";1996;"17/18";"http://www.itsrugby.fr/joueur_37796.html"
"1945";"Strange";"Quinten";20;199;"Super Rugby";1996;"16/17";"http://www.itsrugby.fr/joueur_37796.html"
"1946";"Walker-Leawere";"Isaia";21;64;"Super Rugby";1997;"18/19";"http://www.itsrugby.fr/joueur_37799.html"
"1947";"Walker-Leawere";"Isaia";20;18;"Super Rugby";1997;"17/18";"http://www.itsrugby.fr/joueur_37799.html"
"1948";"Kautai";"Sosefo Siulangapo Vito";22;19;"Super Rugby";1996;"18/19";"http://www.itsrugby.fr/joueur_37800.html"
"1949";"Kautai";"Sosefo Siulangapo Vito";21;8;"Super Rugby";1996;"17/18";"http://www.itsrugby.fr/joueur_37800.html"
"1950";"Kautai";"Sosefo Siulangapo Vito";20;54;"Super Rugby";1996;"16/17";"http://www.itsrugby.fr/joueur_37800.html"
"1951";"Kornath";"Kevin";22;328;"Top 14";1996;"18/19";"http://www.itsrugby.fr/joueur_38008.html"
"1952";"Kornath";"Kevin";21;37;"Top 14";1996;"17/18";"http://www.itsrugby.fr/joueur_38008.html"
"1953";"Kornath";"Kevin";20;111;"Top 14";1996;"16/17";"http://www.itsrugby.fr/joueur_38008.html"
"1954";"Umaga-Jensen";"Peter Ionatana";20;69;"Super Rugby";1997;"17/18";"http://www.itsrugby.fr/joueur_38092.html"
"1955";"Dawe";"Ollie";20;14;"Premiership";1997;"16/17";"http://www.itsrugby.fr/joueur_38176.html"
"1956";"Grayson";"James";21;255;"Premiership";1998;"18/19";"http://www.itsrugby.fr/joueur_38182.html"
"1957";"Grayson";"James";20;253;"Premiership";1998;"17/18";"http://www.itsrugby.fr/joueur_38182.html"
"1958";"Grayson";"James";19;20;"Premiership";1998;"16/17";"http://www.itsrugby.fr/joueur_38182.html"
"1959";"Painter";"Ehren";21;349;"Premiership";1998;"18/19";"http://www.itsrugby.fr/joueur_38184.html"
"1960";"Painter";"Ehren";20;42;"Premiership";1998;"17/18";"http://www.itsrugby.fr/joueur_38184.html"
"1961";"Tua";"Tamati";20;14;"Super Rugby";1997;"17/18";"http://www.itsrugby.fr/joueur_38361.html"
"1962";"Enari";"Ere";20;11;"Super Rugby";1997;"16/17";"http://www.itsrugby.fr/joueur_38376.html"
"1963";"Falcon";"Tiaan";21;137;"Super Rugby";1997;"17/18";"http://www.itsrugby.fr/joueur_38382.html"
"1964";"Fainga'anuku";"Lotima (Tima) Taufo'ou";21;6;"Super Rugby";1997;"17/18";"http://www.itsrugby.fr/joueur_38391.html"
"1965";"Woki";"Cameron";20;429;"Top 14";1998;"18/19";"http://www.itsrugby.fr/joueur_38629.html"
"1966";"Woki";"Cameron";19;832;"Top 14";1998;"17/18";"http://www.itsrugby.fr/joueur_38629.html"
"1967";"Decron";"Nathan";21;281;"Top 14";1998;"18/19";"http://www.itsrugby.fr/joueur_38843.html"
"1968";"Johnstone";"Colin Ayden";22;142;"Super Rugby";1996;"18/19";"http://www.itsrugby.fr/joueur_38956.html"
"1969";"Lebel";"Matthis";20;280;"Top 14";1999;"18/19";"http://www.itsrugby.fr/joueur_39037.html"
"1970";"Cretin";"Dylan";22;581;"Top 14";1997;"18/19";"http://www.itsrugby.fr/joueur_39250.html"
"1971";"Cretin";"Dylan";21;944;"Top 14";1997;"17/18";"http://www.itsrugby.fr/joueur_39250.html"
"1972";"Cretin";"Dylan";20;69;"Top 14";1997;"16/17";"http://www.itsrugby.fr/joueur_39250.html"
"1973";"Barassi";"Pierre-Louis";21;490;"Top 14";1998;"18/19";"http://www.itsrugby.fr/joueur_39255.html"
"1974";"Barassi";"Pierre-Louis";20;7;"Top 14";1998;"17/18";"http://www.itsrugby.fr/joueur_39255.html"
"1975";"Butler";"Will";20;87;"Premiership";1998;"17/18";"http://www.itsrugby.fr/joueur_39265.html"
"1976";"Earl";"Ben";21;555;"Premiership";1998;"18/19";"http://www.itsrugby.fr/joueur_39618.html"
"1977";"Earl";"Ben";20;126;"Premiership";1998;"17/18";"http://www.itsrugby.fr/joueur_39618.html"
"1978";"Curry";"Ben";21;778;"Premiership";1998;"18/19";"http://www.itsrugby.fr/joueur_39619.html"
"1979";"Curry";"Ben";20;1256;"Premiership";1998;"17/18";"http://www.itsrugby.fr/joueur_39619.html"
"1980";"Curry";"Ben";19;470;"Premiership";1998;"16/17";"http://www.itsrugby.fr/joueur_39619.html"
"1981";"Walker";"Henry";21;107;"Premiership";1998;"18/19";"http://www.itsrugby.fr/joueur_39627.html"
