"";"nom";"prenom";"age";"minutes";"Competition";"year";"saison";"lien"
"1622";"Boshier";"Lachlan";24;174;"Super Rugby";1994;"18/19";"http://www.itsrugby.fr/joueur_32270.html"
"1623";"Boshier";"Lachlan";23;670;"Super Rugby";1994;"17/18";"http://www.itsrugby.fr/joueur_32270.html"
"1624";"Boshier";"Lachlan";22;352;"Super Rugby";1994;"16/17";"http://www.itsrugby.fr/joueur_32270.html"
"1625";"Boshier";"Lachlan";21;218;"Super Rugby";1994;"15/16";"http://www.itsrugby.fr/joueur_32270.html"
"1626";"Sanders";"Tom";25;126;"Super Rugby";1994;"18/19";"http://www.itsrugby.fr/joueur_32273.html"
"1627";"Sanders";"Tom";24;143;"Super Rugby";1994;"17/18";"http://www.itsrugby.fr/joueur_32273.html"
"1628";"Sanders";"Tom";23;189;"Super Rugby";1994;"16/17";"http://www.itsrugby.fr/joueur_32273.html"
"1629";"Sanders";"Tom";22;850;"Super Rugby";1994;"15/16";"http://www.itsrugby.fr/joueur_32273.html"
"1630";"McKenzie";"Damian";24;160;"Super Rugby";1995;"18/19";"http://www.itsrugby.fr/joueur_32275.html"
"1631";"McKenzie";"Damian";23;1091;"Super Rugby";1995;"17/18";"http://www.itsrugby.fr/joueur_32275.html"
"1632";"McKenzie";"Damian";22;1360;"Super Rugby";1995;"16/17";"http://www.itsrugby.fr/joueur_32275.html"
"1633";"McKenzie";"Damian";21;1360;"Super Rugby";1995;"15/16";"http://www.itsrugby.fr/joueur_32275.html"
"1634";"McKenzie";"Damian";20;692;"Super Rugby";1995;"14/15";"http://www.itsrugby.fr/joueur_32275.html"
"1635";"Faiane";"TJ";23;130;"Super Rugby";1995;"18/19";"http://www.itsrugby.fr/joueur_32276.html"
"1636";"Faiane";"TJ";22;316;"Super Rugby";1995;"17/18";"http://www.itsrugby.fr/joueur_32276.html"
"1637";"Faiane";"TJ";21;331;"Super Rugby";1995;"16/17";"http://www.itsrugby.fr/joueur_32276.html"
