"";"nom";"prenom";"competition";"age";"minutes";"saison";"WC_U20";"lien"
"1063";"Roussarie";"Luix";"Top 14";23;112;"13/14";"not U20 WC";"http://www.itsrugby.fr/joueur_22033.html"
"1064";"Roussarie";"Luix";"Top 14";22;7;"12/13";"not U20 WC";"http://www.itsrugby.fr/joueur_22033.html"
"1065";"Roussarie";"Luix";"Top 14";21;232;"11/12";"not U20 WC";"http://www.itsrugby.fr/joueur_22033.html"
"1066";"Come";"Julien";"Top 14";21;55;"11/12";"U20 WC";"http://www.itsrugby.fr/joueur_22371.html"
"1067";"Demotte";"William";"Top 14";25;1440;"15/16";"U20 WC";"http://www.itsrugby.fr/joueur_22373.html"
"1068";"Demotte";"William";"Top 14";22;498;"12/13";"U20 WC";"http://www.itsrugby.fr/joueur_22373.html"
"1069";"Julien";"Pierre";"Top 14";22;173;"12/13";"U20 WC";"http://www.itsrugby.fr/joueur_22374.html"
"1070";"Julien";"Pierre";"Top 14";21;18;"11/12";"U20 WC";"http://www.itsrugby.fr/joueur_22374.html"
"1071";"Taofifenua";"Sebastien";"Top 14";25;875;"16/17";"U20 WC";"http://www.itsrugby.fr/joueur_22375.html"
"1072";"Taofifenua";"Sebastien";"Top 14";24;688;"15/16";"U20 WC";"http://www.itsrugby.fr/joueur_22375.html"
"1073";"Taofifenua";"Sebastien";"Top 14";23;762;"14/15";"U20 WC";"http://www.itsrugby.fr/joueur_22375.html"
"1074";"Taofifenua";"Sebastien";"Top 14";22;709;"13/14";"U20 WC";"http://www.itsrugby.fr/joueur_22375.html"
"1075";"Taofifenua";"Sebastien";"Top 14";21;478;"12/13";"U20 WC";"http://www.itsrugby.fr/joueur_22375.html"
"1076";"Taofifenua";"Sebastien";"Top 14";20;31;"11/12";"U20 WC";"http://www.itsrugby.fr/joueur_22375.html"
"1077";"Vahaamahina";"Sebastien";"Top 14";25;519;"16/17";"U20 WC";"http://www.itsrugby.fr/joueur_22378.html"
"1078";"Vahaamahina";"Sebastien";"Top 14";24;1138;"15/16";"U20 WC";"http://www.itsrugby.fr/joueur_22378.html"
"1079";"Vahaamahina";"Sebastien";"Top 14";23;1222;"14/15";"U20 WC";"http://www.itsrugby.fr/joueur_22378.html"
"1080";"Vahaamahina";"Sebastien";"Top 14";22;1008;"13/14";"U20 WC";"http://www.itsrugby.fr/joueur_22378.html"
"1081";"Vahaamahina";"Sebastien";"Top 14";21;970;"12/13";"U20 WC";"http://www.itsrugby.fr/joueur_22378.html"
"1082";"Vahaamahina";"Sebastien";"Top 14";20;77;"11/12";"U20 WC";"http://www.itsrugby.fr/joueur_22378.html"
"1083";"Vahaamahina";"Sebastien";"Top 14";19;30;"10/11";"U20 WC";"http://www.itsrugby.fr/joueur_22378.html"
"1084";"Bouchet";"Laurent";"Top 14";25;563;"12/13";"not U20 WC";"http://www.itsrugby.fr/joueur_22545.html"
