"";"nom";"prenom";"competition";"age";"minutes";"saison";"WC_U20";"lien"
"1334";"Baille";"Cyril";"Top 14";19;14;"12/13";"U20 WC";"http://www.itsrugby.fr/joueur_27581.html"
"1335";"Kusiolek";"Romain";"Top 14";23;80;"13/14";"not U20 WC";"http://www.itsrugby.fr/joueur_27660.html"
"1336";"Henry";"Paul-Emile";"Top 14";23;27;"13/14";"not U20 WC";"http://www.itsrugby.fr/joueur_27661.html"
"1337";"Lavergne";"Damien";"Top 14";25;104;"16/17";"not U20 WC";"http://www.itsrugby.fr/joueur_27724.html"
"1338";"Lavergne";"Damien";"Top 14";24;14;"15/16";"not U20 WC";"http://www.itsrugby.fr/joueur_27724.html"
"1339";"Lavergne";"Damien";"Top 14";23;56;"14/15";"not U20 WC";"http://www.itsrugby.fr/joueur_27724.html"
"1340";"Lavergne";"Damien";"Top 14";22;178;"13/14";"not U20 WC";"http://www.itsrugby.fr/joueur_27724.html"
"1341";"Etrillard";"Anthony";"Top 14";25;1246;"17/18";"not U20 WC";"http://www.itsrugby.fr/joueur_27730.html"
"1342";"Etrillard";"Anthony";"Top 14";24;748;"16/17";"not U20 WC";"http://www.itsrugby.fr/joueur_27730.html"
"1343";"Etrillard";"Anthony";"Top 14";23;568;"15/16";"not U20 WC";"http://www.itsrugby.fr/joueur_27730.html"
"1344";"Etrillard";"Anthony";"Top 14";22;1207;"14/15";"not U20 WC";"http://www.itsrugby.fr/joueur_27730.html"
"1345";"Etrillard";"Anthony";"Top 14";21;246;"13/14";"not U20 WC";"http://www.itsrugby.fr/joueur_27730.html"
"1346";"Etrillard";"Anthony";"Top 14";20;23;"12/13";"not U20 WC";"http://www.itsrugby.fr/joueur_27730.html"
"1347";"Bouvier";"Francois";"Top 14";21;245;"15/16";"U20 WC";"http://www.itsrugby.fr/joueur_27819.html"
"1348";"Mallet";"Vincent";"Top 14";23;13;"15/16";"U20 WC";"http://www.itsrugby.fr/joueur_27820.html"
"1349";"Mallet";"Vincent";"Top 14";22;58;"14/15";"U20 WC";"http://www.itsrugby.fr/joueur_27820.html"
"1350";"Mallet";"Vincent";"Top 14";20;30;"12/13";"U20 WC";"http://www.itsrugby.fr/joueur_27820.html"
"1351";"Vialelle";"Florian";"Top 14";25;494;"18/19";"U20 WC";"http://www.itsrugby.fr/joueur_27822.html"
"1352";"Vialelle";"Florian";"Top 14";24;828;"17/18";"U20 WC";"http://www.itsrugby.fr/joueur_27822.html"
"1353";"Vialelle";"Florian";"Top 14";23;582;"16/17";"U20 WC";"http://www.itsrugby.fr/joueur_27822.html"
"1354";"Vialelle";"Florian";"Top 14";22;578;"15/16";"U20 WC";"http://www.itsrugby.fr/joueur_27822.html"
"1355";"Roux";"Ivan";"Top 14";19;27;"12/13";"U20 WC";"http://www.itsrugby.fr/joueur_27897.html"
"1356";"Dussartre";"Etienne";"Top 14";25;7;"17/18";"U20 WC";"http://www.itsrugby.fr/joueur_27908.html"
"1357";"Dussartre";"Etienne";"Top 14";24;175;"16/17";"U20 WC";"http://www.itsrugby.fr/joueur_27908.html"
"1358";"Dussartre";"Etienne";"Top 14";23;561;"15/16";"U20 WC";"http://www.itsrugby.fr/joueur_27908.html"
"1359";"Dussartre";"Etienne";"Top 14";22;29;"14/15";"U20 WC";"http://www.itsrugby.fr/joueur_27908.html"
"1360";"Cros";"Francois";"Top 14";25;793;"18/19";"U20 WC";"http://www.itsrugby.fr/joueur_28129.html"
"1361";"Cros";"Francois";"Top 14";24;1324;"17/18";"U20 WC";"http://www.itsrugby.fr/joueur_28129.html"
"1362";"Cros";"Francois";"Top 14";23;1036;"16/17";"U20 WC";"http://www.itsrugby.fr/joueur_28129.html"
"1363";"Cros";"Francois";"Top 14";22;295;"15/16";"U20 WC";"http://www.itsrugby.fr/joueur_28129.html"
"1364";"Ishchenko";"Oleg";"Top 14";22;62;"15/16";"U20 WC";"http://www.itsrugby.fr/joueur_28131.html"
"1365";"Ollivon";"Charles";"Top 14";24;733;"16/17";"not U20 WC";"http://www.itsrugby.fr/joueur_28237.html"
"1366";"Ollivon";"Charles";"Top 14";23;421;"15/16";"not U20 WC";"http://www.itsrugby.fr/joueur_28237.html"
"1367";"Ollivon";"Charles";"Top 14";22;1370;"14/15";"not U20 WC";"http://www.itsrugby.fr/joueur_28237.html"
"1368";"Ollivon";"Charles";"Top 14";21;443;"13/14";"not U20 WC";"http://www.itsrugby.fr/joueur_28237.html"
"1369";"Ollivon";"Charles";"Top 14";20;21;"12/13";"not U20 WC";"http://www.itsrugby.fr/joueur_28237.html"
"1370";"Lescadieu";"Florian";"Top 14";23;93;"13/14";"not U20 WC";"http://www.itsrugby.fr/joueur_28482.html"
"1371";"Lescadieu";"Florian";"Top 14";22;53;"12/13";"not U20 WC";"http://www.itsrugby.fr/joueur_28482.html"
"1372";"Guery";"Thomas";"Top 14";23;12;"12/13";"not U20 WC";"http://www.itsrugby.fr/joueur_28483.html"
"1373";"Lamotte";"Jean-Baptiste";"Top 14";23;138;"13/14";"not U20 WC";"http://www.itsrugby.fr/joueur_28484.html"
"1374";"Lamotte";"Jean-Baptiste";"Top 14";22;15;"12/13";"not U20 WC";"http://www.itsrugby.fr/joueur_28484.html"
"1375";"Megdoud";"Nadir";"Top 14";21;438;"17/18";"not U20 WC";"http://www.itsrugby.fr/joueur_28620.html"
"1376";"Maurouard";"Jeremie";"Top 14";25;457;"17/18";"not U20 WC";"http://www.itsrugby.fr/joueur_28624.html"
"1377";"Maurouard";"Jeremie";"Top 14";24;1082;"16/17";"not U20 WC";"http://www.itsrugby.fr/joueur_28624.html"
"1378";"Maurouard";"Jeremie";"Top 14";23;901;"15/16";"not U20 WC";"http://www.itsrugby.fr/joueur_28624.html"
"1379";"Maurouard";"Jeremie";"Top 14";22;218;"14/15";"not U20 WC";"http://www.itsrugby.fr/joueur_28624.html"
"1380";"Maurouard";"Jeremie";"Top 14";21;65;"13/14";"not U20 WC";"http://www.itsrugby.fr/joueur_28624.html"
"1381";"Vuillermin";"Nicolas";"Top 14";23;6;"13/14";"not U20 WC";"http://www.itsrugby.fr/joueur_28680.html"
"1382";"Duhalde";"Bastien";"Top 14";24;177;"16/17";"U20 WC";"http://www.itsrugby.fr/joueur_28959.html"
"1383";"Duhalde";"Bastien";"Top 14";23;14;"15/16";"U20 WC";"http://www.itsrugby.fr/joueur_28959.html"
"1384";"Duhalde";"Bastien";"Top 14";22;17;"14/15";"U20 WC";"http://www.itsrugby.fr/joueur_28959.html"
"1385";"Heriteau";"Julien";"Top 14";24;896;"18/19";"U20 WC";"http://www.itsrugby.fr/joueur_29078.html"
"1386";"Heriteau";"Julien";"Top 14";23;1304;"17/18";"U20 WC";"http://www.itsrugby.fr/joueur_29078.html"
"1387";"Heriteau";"Julien";"Top 14";21;481;"15/16";"U20 WC";"http://www.itsrugby.fr/joueur_29078.html"
"1388";"Cottin";"Yoan";"Top 14";21;91;"18/19";"not U20 WC";"http://www.itsrugby.fr/joueur_29095.html"
"1389";"Macalou";"Sekou";"Top 14";24;1232;"18/19";"U20 WC";"http://www.itsrugby.fr/joueur_29099.html"
"1390";"Macalou";"Sekou";"Top 14";23;1073;"17/18";"U20 WC";"http://www.itsrugby.fr/joueur_29099.html"
"1391";"Macalou";"Sekou";"Top 14";22;679;"16/17";"U20 WC";"http://www.itsrugby.fr/joueur_29099.html"
"1392";"Macalou";"Sekou";"Top 14";21;343;"15/16";"U20 WC";"http://www.itsrugby.fr/joueur_29099.html"
"1393";"Corbel";"Mike";"Top 14";25;1175;"16/17";"not U20 WC";"http://www.itsrugby.fr/joueur_29105.html"
"1394";"Corbel";"Mike";"Top 14";24;587;"15/16";"not U20 WC";"http://www.itsrugby.fr/joueur_29105.html"
"1395";"Corbel";"Mike";"Top 14";23;337;"14/15";"not U20 WC";"http://www.itsrugby.fr/joueur_29105.html"
"1396";"Ancely";"Clement";"Top 14";22;39;"14/15";"not U20 WC";"http://www.itsrugby.fr/joueur_29374.html"
"1397";"Ancely";"Clement";"Top 14";21;80;"13/14";"not U20 WC";"http://www.itsrugby.fr/joueur_29374.html"
"1398";"Diaby";"Mahamadou";"Top 14";25;1118;"15/16";"not U20 WC";"http://www.itsrugby.fr/joueur_29375.html"
"1399";"Diaby";"Mahamadou";"Top 14";24;175;"14/15";"not U20 WC";"http://www.itsrugby.fr/joueur_29375.html"
"1400";"Diaby";"Mahamadou";"Top 14";23;425;"13/14";"not U20 WC";"http://www.itsrugby.fr/joueur_29375.html"
"1401";"Tuncer";"Yusuf";"Top 14";22;33;"15/16";"not U20 WC";"http://www.itsrugby.fr/joueur_29378.html"
"1402";"Le Bail";"Jules";"Top 14";25;124;"16/17";"not U20 WC";"http://www.itsrugby.fr/joueur_29527.html"
"1403";"Le Bail";"Jules";"Top 14";24;183;"15/16";"not U20 WC";"http://www.itsrugby.fr/joueur_29527.html"
"1404";"Le Bail";"Jules";"Top 14";23;200;"14/15";"not U20 WC";"http://www.itsrugby.fr/joueur_29527.html"
"1405";"Lonca";"Romain";"Top 14";25;676;"16/17";"not U20 WC";"http://www.itsrugby.fr/joueur_29791.html"
"1406";"Lonca";"Romain";"Top 14";24;464;"15/16";"not U20 WC";"http://www.itsrugby.fr/joueur_29791.html"
"1407";"Lonca";"Romain";"Top 14";23;570;"14/15";"not U20 WC";"http://www.itsrugby.fr/joueur_29791.html"
"1408";"Lonca";"Romain";"Top 14";22;339;"13/14";"not U20 WC";"http://www.itsrugby.fr/joueur_29791.html"
"1409";"Lespiaucq-Brettes";"Quentin";"Top 14";24;381;"18/19";"U20 WC";"http://www.itsrugby.fr/joueur_29860.html"
"1410";"Lespiaucq-Brettes";"Quentin";"Top 14";23;1396;"17/18";"U20 WC";"http://www.itsrugby.fr/joueur_29860.html"
"1411";"Lespiaucq-Brettes";"Quentin";"Top 14";22;785;"16/17";"U20 WC";"http://www.itsrugby.fr/joueur_29860.html"
"1412";"Lespiaucq-Brettes";"Quentin";"Top 14";21;384;"15/16";"U20 WC";"http://www.itsrugby.fr/joueur_29860.html"
"1413";"Daubagna";"Thibault";"Top 14";25;1208;"18/19";"U20 WC";"http://www.itsrugby.fr/joueur_29863.html"
"1414";"Daubagna";"Thibault";"Top 14";24;1279;"17/18";"U20 WC";"http://www.itsrugby.fr/joueur_29863.html"
"1415";"Daubagna";"Thibault";"Top 14";23;1110;"16/17";"U20 WC";"http://www.itsrugby.fr/joueur_29863.html"
"1416";"Daubagna";"Thibault";"Top 14";22;783;"15/16";"U20 WC";"http://www.itsrugby.fr/joueur_29863.html"
"1417";"Chellat";"Sofiane";"Top 14";25;122;"14/15";"not U20 WC";"http://www.itsrugby.fr/joueur_29926.html"
"1418";"Granouillet";"Maxime";"Top 14";22;1;"13/14";"not U20 WC";"http://www.itsrugby.fr/joueur_30038.html"
"1419";"Michallet";"Jordan";"Top 14";22;80;"14/15";"not U20 WC";"http://www.itsrugby.fr/joueur_30143.html"
"1420";"Michallet";"Jordan";"Top 14";21;314;"13/14";"not U20 WC";"http://www.itsrugby.fr/joueur_30143.html"
"1421";"Firmin";"Kevin";"Top 14";22;10;"13/14";"not U20 WC";"http://www.itsrugby.fr/joueur_30155.html"
"1422";"Abadie";"Paul";"Top 14";24;861;"18/19";"not U20 WC";"http://www.itsrugby.fr/joueur_30159.html"
"1423";"Abadie";"Paul";"Top 14";23;479;"17/18";"not U20 WC";"http://www.itsrugby.fr/joueur_30159.html"
"1424";"Abadie";"Paul";"Top 14";21;312;"15/16";"not U20 WC";"http://www.itsrugby.fr/joueur_30159.html"
"1425";"Elissalde";"Jon";"Top 14";22;213;"14/15";"not U20 WC";"http://www.itsrugby.fr/joueur_30171.html"
"1426";"Elissalde";"Jon";"Top 14";21;64;"13/14";"not U20 WC";"http://www.itsrugby.fr/joueur_30171.html"
"1427";"Marrou";"Louis";"Top 14";20;80;"13/14";"not U20 WC";"http://www.itsrugby.fr/joueur_30172.html"
"1428";"Caire";"Robinson";"Top 14";22;10;"15/16";"not U20 WC";"http://www.itsrugby.fr/joueur_30173.html"
"1429";"Caire";"Robinson";"Top 14";21;270;"14/15";"not U20 WC";"http://www.itsrugby.fr/joueur_30173.html"
"1430";"Caire";"Robinson";"Top 14";20;71;"13/14";"not U20 WC";"http://www.itsrugby.fr/joueur_30173.html"
"1431";"Lebas";"Victor";"Top 14";23;296;"15/16";"not U20 WC";"http://www.itsrugby.fr/joueur_30174.html"
"1432";"Lebas";"Victor";"Top 14";22;58;"14/15";"not U20 WC";"http://www.itsrugby.fr/joueur_30174.html"
"1433";"Lebas";"Victor";"Top 14";21;55;"13/14";"not U20 WC";"http://www.itsrugby.fr/joueur_30174.html"
"1434";"Neisen";"Anderson";"Top 14";21;53;"13/14";"not U20 WC";"http://www.itsrugby.fr/joueur_30175.html"
"1435";"Loustalot";"Christophe";"Top 14";24;297;"15/16";"not U20 WC";"http://www.itsrugby.fr/joueur_30177.html"
"1436";"Loustalot";"Christophe";"Top 14";23;740;"14/15";"not U20 WC";"http://www.itsrugby.fr/joueur_30177.html"
"1437";"Loustalot";"Christophe";"Top 14";22;27;"13/14";"not U20 WC";"http://www.itsrugby.fr/joueur_30177.html"
"1438";"Dardet";"Alexandre";"Top 14";24;290;"16/17";"not U20 WC";"http://www.itsrugby.fr/joueur_30178.html"
"1439";"Dardet";"Alexandre";"Top 14";23;56;"15/16";"not U20 WC";"http://www.itsrugby.fr/joueur_30178.html"
"1440";"Dardet";"Alexandre";"Top 14";22;367;"14/15";"not U20 WC";"http://www.itsrugby.fr/joueur_30178.html"
"1441";"Dardet";"Alexandre";"Top 14";21;59;"13/14";"not U20 WC";"http://www.itsrugby.fr/joueur_30178.html"
"1442";"Chabaud";"Florian";"Top 14";22;20;"13/14";"not U20 WC";"http://www.itsrugby.fr/joueur_30180.html"
"1443";"Lyons";"Lucas";"Top 14";21;7;"13/14";"not U20 WC";"http://www.itsrugby.fr/joueur_30181.html"
"1444";"Traore";"Sadio";"Top 14";23;5;"13/14";"not U20 WC";"http://www.itsrugby.fr/joueur_30182.html"
"1445";"Aldegheri";"Dorian";"Top 14";25;350;"18/19";"not U20 WC";"http://www.itsrugby.fr/joueur_30183.html"
"1446";"Aldegheri";"Dorian";"Top 14";24;943;"17/18";"not U20 WC";"http://www.itsrugby.fr/joueur_30183.html"
