"";"nom";"prenom";"club";"saison";"pays";"competition";"nationalite";"link"
"1";"Lubbe";"Rickus";"Montpellier";"05/06";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_6.html"
"2";"Deen";"Jacques";"Bayonne";"06/07";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_48.html"
"3";"Davis";"Glenn";"Bourgoin";"05/06";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_94.html"
"4";"Esterhuizen";"Grant";"Clermont";"06/07";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_107.html"
"5";"Morgan";"Garrick";"Pau";"05/06";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_144.html"
"6";"Stoltz";"Conrad";"Agen";"05/06";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_181.html"
"7";"Edmonds";"Manny";"USAP";"05/06";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_221.html"
"8";"McMullen";"Craig";"Clermont";"05/06";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_238.html"
"9";"Hunter";"David";"Narbonne";"05/06";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_249.html"
"10";"Taele";"Murphy";"Montpellier";"05/06";"France";"Top 14";"Samoa";"http://www.itsrugby.fr/joueur_268.html"
"11";"Daniell";"John";"Montpellier";"05/06";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_275.html"
"12";"Toleafoa";"Philemon";"Montpellier";"05/06";"France";"Top 14";"Samoa";"http://www.itsrugby.fr/joueur_281.html"
"13";"Isaac";"John";"Pau";"05/06";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_364.html"
"14";"Maka";"Isitolo";"Stade Toulousain";"05/06";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_367.html"
"15";"Tomuli";"Jeremy";"Bayonne";"05/06";"France";"Top 14";"Samoa";"http://www.itsrugby.fr/joueur_441.html"
"16";"Robertson";"Scott";"USAP";"05/06";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_449.html"
"17";"Maka";"Finau";"Stade Toulousain";"05/06";"France";"Top 14";"Tonga";"http://www.itsrugby.fr/joueur_452.html"
"18";"Hill";"Anthony";"Montpellier";"05/06";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_501.html"
"19";"Koko";"Ali";"Montpellier";"05/06";"France";"Top 14";"Samoa";"http://www.itsrugby.fr/joueur_663.html"
"20";"Lealamanu'a";"Kas";"Biarritz";"05/06";"France";"Top 14";"Samoa";"http://www.itsrugby.fr/joueur_699.html"
"21";"Hill";"Grant";"Bayonne";"05/06";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_706.html"
"22";"Tapasu";"Tao";"Auch";"07/08";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_715.html"
"23";"Fleming";"Brad";"Castres";"05/06";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_726.html"
"24";"Hume";"Gavin";"USAP";"05/06";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_729.html"
"25";"Milford";"Laloa";"Castres";"05/06";"France";"Top 14";"Samoa";"http://www.itsrugby.fr/joueur_734.html"
"26";"Tewhata";"Mikaera";"Bayonne";"05/06";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_741.html"
"27";"Ratuva";"Aca";"Agen";"05/06";"France";"Top 14";"Fidji";"http://www.itsrugby.fr/joueur_762.html"
"28";"Caucaunibuca";"Rupeni";"Agen";"05/06";"France";"Top 14";"Fidji";"http://www.itsrugby.fr/joueur_773.html"
"29";"Booyse";"Ockert";"Biarritz";"05/06";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_786.html"
"30";"Hooper";"Jason";"Narbonne";"05/06";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_795.html"
"31";"Sowerby";"Shaun";"Stade Français";"05/06";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_811.html"
"32";"Hufanga";"Sukanaivalu";"Brive";"06/07";"France";"Top 14";"Tonga";"http://www.itsrugby.fr/joueur_814.html"
"33";"Van Schalkwyk";"Philipp";"Bayonne";"05/06";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_824.html"
"34";"Fanolua";"Terry";"Brive";"06/07";"France";"Top 14";"Samoa";"http://www.itsrugby.fr/joueur_867.html"
"35";"Frost";"Rowan";"Montauban";"06/07";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_896.html"
"36";"Taione";"Epi";"Racing Metro 92";"09/10";"France";"Top 14";"Tonga";"http://www.itsrugby.fr/joueur_916.html"
"37";"Montgomery";"Percy";"USAP";"07/08";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_941.html"
"38";"Tiatia";"Ace";"Pau";"05/06";"France";"Top 14";"Samoa";"http://www.itsrugby.fr/joueur_980.html"
"39";"Finau";"Salesi";"Bourgoin";"06/07";"France";"Top 14";"Tonga";"http://www.itsrugby.fr/joueur_987.html"
"40";"Reihana";"Bruce";"Union Bordeaux Bègles";"11/12";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_991.html"
"41";"Daniel";"Brendon";"Pau";"05/06";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_1032.html"
"42";"Rabeni";"Seru";"La Rochelle";"10/11";"France";"Top 14";"Fidji";"http://www.itsrugby.fr/joueur_1080.html"
"43";"Tuilagi";"Henry";"USAP";"07/08";"France";"Top 14";"Samoa";"http://www.itsrugby.fr/joueur_1092.html"
"44";"Tuilagi";"Alesana";"Toulon";"16/17";"France";"Top 14";"Samoa";"http://www.itsrugby.fr/joueur_1095.html"
"45";"Frazer";"Gerard";"Bayonne";"05/06";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_1101.html"
"46";"Purll";"Justin";"Union Bordeaux Bègles";"11/12";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_1107.html"
"47";"Leota";"Trevor";"Mont de Marsan";"08/09";"France";"Top 14";"Samoa";"http://www.itsrugby.fr/joueur_1138.html"
"48";"Raiwalui";"Simon";"Racing Metro 92";"09/10";"France";"Top 14";"Fidji";"http://www.itsrugby.fr/joueur_1181.html"
"49";"Henjak";"Matt";"Toulon";"08/09";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_1207.html"
"50";"Snyman";"Andre";"USAP";"06/07";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_1231.html"
"51";"Welsh";"Frikkie";"Montpellier";"07/08";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_1337.html"
"52";"Gerber";"Rayno";"Stade Français";"09/10";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_1338.html"
"53";"Kiole";"Seti";"Clermont";"05/06";"France";"Top 14";"Tonga";"http://www.itsrugby.fr/joueur_1351.html"
"54";"Meeuws";"Keith";"Castres";"05/06";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_1360.html"
"55";"Human";"Daan";"Stade Toulousain";"05/06";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_1361.html"
"56";"King";"Regan";"Clermont";"11/12";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_1362.html"
"57";"Taukafa";"Ephram";"Mont de Marsan";"12/13";"France";"Top 14";"Tonga";"http://www.itsrugby.fr/joueur_1390.html"
"58";"Tuilagi";"Fereti";"Castres";"05/06";"France";"Top 14";"Samoa";"http://www.itsrugby.fr/joueur_1433.html"
"59";"Fulton";"Billy";"Agen";"06/07";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_1515.html"
"60";"Coutts";"Ben";"Mont de Marsan";"08/09";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_1521.html"
"61";"Tonga'uiha";"Soane";"Racing Metro 92";"13/14";"France";"Top 14";"Tonga";"http://www.itsrugby.fr/joueur_1620.html"
"62";"Joubert";"Marius";"Clermont";"07/08";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_1691.html"
"63";"Cronje";"Jacques";"Biarritz";"07/08";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_1695.html"
"64";"Smit";"John William";"Clermont";"07/08";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_1699.html"
"65";"Van der Linde";"CJ";"Montpellier";"15/16";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_1702.html"
"66";"Smith";"Juan";"Toulon";"13/14";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_1703.html"
"67";"Russell";"Brent";"Clermont";"08/09";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_1705.html"
"68";"Habana";"Bryan Gary";"Toulon";"13/14";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_1707.html"
"69";"Rossouw";"Danie";"Toulon";"12/13";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_1708.html"
"70";"Van Niekerk";"Joe";"Toulon";"08/09";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_1709.html"
"71";"Januarie";"Enrico";"LOU";"11/12";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_1711.html"
"72";"Carter";"Daniel";"USAP";"08/09";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_1720.html"
"73";"Collins";"Jerry";"Toulon";"08/09";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_1721.html"
"74";"Hayman";"Carl";"Toulon";"10/11";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_1723.html"
"75";"Johnstone";"Campbell";"Biarritz";"08/09";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_1726.html"
"76";"Kelleher";"Byron";"Stade Toulousain";"07/08";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_1727.html"
"77";"Sivivatu";"Sitiveni";"Clermont";"11/12";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_1728.html"
"78";"Lauaki";"Sione";"Clermont";"10/11";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_1729.html"
"79";"Marshall";"Justin";"Montpellier";"08/09";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_1732.html"
"80";"Nonu";"Ma'a";"Toulon";"15/16";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_1736.html"
"81";"Smith";"Conrad";"Pau";"15/16";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_1739.html"
"82";"Umaga";"Tana";"Toulon";"08/09";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_1743.html"
"83";"Williams";"Ali";"Toulon";"13/14";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_1744.html"
"84";"Steenkamp";"Gurthro";"Stade Toulousain";"11/12";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_1807.html"
"85";"Britz";"Gerrie";"USAP";"07/08";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_1808.html"
"86";"Ligairi";"Norman";"Brive";"06/07";"France";"Top 14";"Fidji";"http://www.itsrugby.fr/joueur_1854.html"
"87";"Delasau";"Vilimoni";"Clermont";"06/07";"France";"Top 14";"Fidji";"http://www.itsrugby.fr/joueur_1855.html"
"88";"Bai";"Seremaia";"Clermont";"06/07";"France";"Top 14";"Fidji";"http://www.itsrugby.fr/joueur_1857.html"
"89";"Bobo";"Sireli";"Biarritz";"05/06";"France";"Top 14";"Fidji";"http://www.itsrugby.fr/joueur_1859.html"
"90";"Koyamaibole";"Sisa";"Toulon";"08/09";"France";"Top 14";"Fidji";"http://www.itsrugby.fr/joueur_1861.html"
"91";"Qovu";"Jone";"Racing Metro 92";"09/10";"France";"Top 14";"Fidji";"http://www.itsrugby.fr/joueur_1864.html"
"92";"Rokobaro";"Seva";"Toulon";"11/12";"France";"Top 14";"Fidji";"http://www.itsrugby.fr/joueur_1866.html"
"93";"Turinui";"Morgan";"Stade Français";"11/12";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_1875.html"
"94";"Giteau";"Matt";"Toulon";"11/12";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_1877.html"
"95";"Lyons";"David";"Stade Français";"11/12";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_1879.html"
"96";"Smith";"George";"Toulon";"10/11";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_1880.html"
"97";"Elsom";"Rocky";"Toulon";"12/13";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_1881.html"
"98";"Chisholm";"Mark";"Bayonne";"11/12";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_1883.html"
"99";"Johnston";"Census";"Biarritz";"05/06";"France";"Top 14";"Samoa";"http://www.itsrugby.fr/joueur_1896.html"
"100";"Lafaiali'i";"Saveasiuleo";"Bayonne";"05/06";"France";"Top 14";"Samoa";"http://www.itsrugby.fr/joueur_1897.html"
"101";"Bolavucu";"Filimone";"Brive";"06/07";"France";"Top 14";"Fidji";"http://www.itsrugby.fr/joueur_1911.html"
"102";"Senio";"Kevin";"Castres";"07/08";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_1916.html"
"103";"Castle";"Ben";"Toulon";"08/09";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_1922.html"
"104";"Davison";"Simms";"Clermont";"08/09";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_1924.html"
"105";"Mafi";"Lifeimi";"USAP";"12/13";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_1931.html"
"106";"Masoe";"Chris";"Castres";"08/09";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_1935.html"
"107";"Paku";"Shannon";"Montauban";"08/09";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_1947.html"
"108";"Weepu";"Piri";"Oyonnax";"15/16";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_1951.html"
"109";"Filipo";"Ross";"Bayonne";"09/10";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_1955.html"
"110";"Thompson";"Kane";"Dax";"07/08";"France";"Top 14";"Samoa";"http://www.itsrugby.fr/joueur_1962.html"
"111";"Purdie";"Justin";"Dax";"07/08";"France";"Top 14";"Samoa";"http://www.itsrugby.fr/joueur_1963.html"
"112";"Donnelly";"Tom";"Montpellier";"14/15";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_1974.html"
"113";"Hoeft";"Carl";"Castres";"05/06";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_1976.html"
"114";"Flynn";"Corey";"Stade Toulousain";"14/15";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_2007.html"
"115";"Broomhall";"Sam";"Clermont";"05/06";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_2009.html"
"116";"Mehrtens";"Andrew";"Racing Metro 92";"09/10";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_2010.html"
"117";"Laulala";"Casey";"Racing Metro 92";"14/15";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_2012.html"
"118";"Kopelaini";"Tone";"Bourgoin";"08/09";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_2013.html"
"119";"Samo";"Radike";"Stade Français";"06/07";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_2018.html"
"120";"Ashley-Cooper";"Adam";"Union Bordeaux Bègles";"15/16";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_2022.html"
"121";"Campbell";"Alistair";"Montpellier";"08/09";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_2025.html"
"122";"McAlister";"Luke";"Stade Toulousain";"11/12";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_2031.html"
"123";"Taumopeau";"Saimone";"Toulon";"08/09";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_2040.html"
"124";"Rokocoko";"Joe";"Bayonne";"11/12";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_2045.html"
"125";"Wulf";"Rudolffe";"Toulon";"10/11";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_2049.html"
"126";"Lavea";"Tasesa";"Clermont";"09/10";"France";"Top 14";"Samoa";"http://www.itsrugby.fr/joueur_2050.html"
"127";"McIntyre";"Cameron";"Castres";"06/07";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_2053.html"
"128";"Tuitavake";"Anthony";"Montpellier";"13/14";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_2054.html"
"129";"MacKay";"Lachlan";"Brive";"08/09";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_2064.html"
"130";"Paulse";"Breyton";"Clermont";"05/06";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2083.html"
"131";"Linde";"Rob";"Bayonne";"06/07";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2086.html"
"132";"Badenhorst";"Adri";"Agen";"06/07";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2087.html"
"133";"du Toit";"Gaffie";"Stade Toulousain";"06/07";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2091.html"
"134";"Coetzee";"Eduard";"Bayonne";"05/06";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2092.html"
"135";"Botha";"Brendon";"LOU";"16/17";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2094.html"
"136";"Immelman";"Braam";"Montauban";"06/07";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2097.html"
"137";"Saayman";"Danie";"Castres";"06/07";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2105.html"
"138";"Pienaar";"Ruan";"Montpellier";"17/18";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2106.html"
"139";"Schutte";"Jacques";"Montpellier";"08/09";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2108.html"
"140";"Van Rensburg";"Charl";"Brive";"05/06";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2109.html"
"141";"Tialata";"Neemia";"Bayonne";"11/12";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_2110.html"
"142";"Gear";"Hosea";"Stade Toulousain";"13/14";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_2112.html"
"143";"Ward";"Brent";"Racing Metro 92";"09/10";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_2113.html"
"144";"Pelesasa";"Junior";"Agen";"10/11";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_2124.html"
"145";"Berry";"Nic";"Racing Metro 92";"09/10";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_2129.html"
"146";"Kefu";"Steve";"Castres";"06/07";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_2130.html"
"147";"Mitchell";"Drew";"Toulon";"13/14";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_2131.html"
"148";"du Plooy";"Boela";"Stade Français";"05/06";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2134.html"
"149";"Claassens";"Michael";"Toulon";"13/14";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2138.html"
"150";"Pretorius";"Andre";"Toulon";"11/12";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2139.html"
"151";"Willemse";"Ashwin";"Biarritz";"07/08";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2142.html"
"152";"Scholtz";"Hendro";"Agen";"10/11";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2145.html"
"153";"Botha";"Gary";"Stade Toulousain";"11/12";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2151.html"
"154";"Botha";"Bakkies";"Toulon";"11/12";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2153.html"
"155";"Wannenburg";"Pedrie";"Castres";"12/13";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2155.html"
"156";"Roux";"Wessel";"Bourgoin";"08/09";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2162.html"
"157";"Adams";"Heini";"Union Bordeaux Bègles";"11/12";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2164.html"
"158";"Rossouw";"Chris";"Toulon";"05/06";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2176.html"
"159";"Britz";"Warren";"Montpellier";"07/08";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2185.html"
"160";"du Plessis";"Bismarck";"Montpellier";"15/16";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2188.html"
"161";"Spies";"Pierre";"Montpellier";"15/16";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2189.html"
"162";"Olivier";"Wynand";"Montpellier";"13/14";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2190.html"
"163";"King";"Chris";"Montpellier";"14/15";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_2191.html"
"164";"Van Zyl";"Johan";"Brive";"05/06";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2193.html"
"165";"Mika";"Bradley";"Brive";"07/08";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_2198.html"
"166";"Donnelly";"Tim";"Brive";"06/07";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_2201.html"
"167";"Wasserman";"Johan";"Montpellier";"07/08";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2221.html"
"168";"Britz";"Lodie";"Mont de Marsan";"12/13";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2227.html"
"169";"van Staden";"Eugene";"Montpellier";"07/08";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2231.html"
"170";"Hancke";"Drickus";"Montpellier";"05/06";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2235.html"
"171";"Hall";"Trevor";"Biarritz";"06/07";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2252.html"
"172";"Stoltz";"Willem";"Agen";"06/07";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2253.html"
"173";"Vosloo";"Gerhard";"Castres";"06/07";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2254.html"
"174";"Vermaak";"Jano";"Stade Toulousain";"13/14";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2262.html"
"175";"Strydom";"Louis ";"Bayonne";"08/09";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2272.html"
"176";"Rees";"Grant";"Montpellier";"07/08";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2288.html"
"177";"Pietersen";"Jon-Paul Roger";"Toulon";"17/18";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2290.html"
"178";"Dry";"Claude";"Pau";"15/16";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2292.html"
"179";"Smit";"Nicky";"Toulon";"05/06";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2298.html"
"180";"du Preez";"Ruuan";"Bourgoin";"10/11";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2310.html"
"181";"Eksteen";"Henk ";"Narbonne";"06/07";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2312.html"
"182";"Barnard";"Patrick Christian";"Brive";"09/10";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2316.html"
"183";"Skeate";"Ross Carson ";"Toulon";"08/09";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2317.html"
"184";"Gerber";"Hendrik ";"Brive";"06/07";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2319.html"
"185";"Grant";"Peter John";"La Rochelle";"14/15";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2321.html"
"186";"Pietersen";"Johan Christiaan ";"Bayonne";"10/11";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2327.html"
"187";"du Preez";"Wian Hunter";"LOU";"14/15";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2328.html"
"188";"du Plessis";"Jan";"Montpellier";"15/16";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2329.html"
"189";"Van der Merwe";"Ryno";"Brive";"07/08";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2332.html"
"190";"Oelschig";"Noel";"Stade Français";"08/09";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2340.html"
"191";"Vaki";"Viliami";"USAP";"05/06";"France";"Top 14";"Tonga";"http://www.itsrugby.fr/joueur_2351.html"
"192";"Fa'aoso";"Lisiate ";"Agen";"10/11";"France";"Top 14";"Tonga";"http://www.itsrugby.fr/joueur_2355.html"
"193";"Pulu";"Kisi ";"Albi";"06/07";"France";"Top 14";"Tonga";"http://www.itsrugby.fr/joueur_2356.html"
"194";"Liebenberg";"Tiaan";"Toulon";"08/09";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2364.html"
"195";"Wessels";"Hedley";"Bayonne";"05/06";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2365.html"
"196";"Bornman";"Jannie";"Dax";"08/09";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2368.html"
"197";"Viljoen";"Frans";"Stade Français";"06/07";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2370.html"
"198";"Wepener";"Willie";"Clermont";"09/10";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2379.html"
"199";"Mynhardt";"Jandre ";"Mont de Marsan";"08/09";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2385.html"
"200";"Hough";"Andre";"Albi";"06/07";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2390.html"
"201";"Loftus";"Werner ";"Bourgoin";"05/06";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2397.html"
"202";"Gerber";"Sam ";"Bayonne";"06/07";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2413.html"
