"";"nom";"prenom";"club";"saison";"pays";"competition";"nationalite";"link"
"1898";"Smith";"Peter";"Kubota Spears";"14/15";"Japon";"Japon";"Australie";"http://www.itsrugby.fr/joueur_32970.html"
"1899";"Thomas";"Corey";"Canon Eagles";"16/17";"Japon";"Japon";"Australie";"http://www.itsrugby.fr/joueur_33013.html"
"1900";"Magnay";"Campbell";"Suntory Sungoliath";"17/18";"Japon";"Japon";"Australie";"http://www.itsrugby.fr/joueur_33033.html"
"1901";"Hollinshead";"Dan";"Coca-Cola Red Sparks";"17/18";"Japon";"Japon D2";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_33045.html"
"1902";"Hollinshead";"Dan";"Coca-Cola Red Sparks";"17/18";"Japon";"Japon";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_33045.html"
"1903";"Stolberg";"Michael";"Kintetsu Liners";"16/17";"Japon";"Japon";"Australie";"http://www.itsrugby.fr/joueur_33074.html"
"1904";"Iongi";"Joe";"NTT Docomo Red Hurricanes";"14/15";"Japon";"Japon";"Tonga";"http://www.itsrugby.fr/joueur_33189.html"
"1905";"Iongi";"Joe";"NTT Docomo Red Hurricanes";"14/15";"Japon";"Japon";"Tonga";"http://www.itsrugby.fr/joueur_33189.html"
"1906";"Greene";"Sam";"Toyota Industries Shuttles";"16/17";"Japon";"Japon";"Australie";"http://www.itsrugby.fr/joueur_33592.html"
"1907";"Lemalu";"Fa'atiga";"Munakata Sanix Blues";"14/15";"Japon";"Japon";"Samoa";"http://www.itsrugby.fr/joueur_33639.html"
"1908";"Lemalu";"Fa'atiga";"Munakata Sanix Blues";"14/15";"Japon";"Japon";"Samoa";"http://www.itsrugby.fr/joueur_33639.html"
"1909";"Jenkins";"Jason Howell";"Toyota Verblitz";"17/18";"Japon";"Japon";"Afrique du Sud";"http://www.itsrugby.fr/joueur_34205.html"
"1910";"Snyman";"Rudolph Gerhardus";"Honda Heat";"17/18";"Japon";"Japon D2";"Afrique du Sud";"http://www.itsrugby.fr/joueur_34217.html"
